wind_speed_kmph,blade_length_m,altitude_m,humidity_pct,turbine_output_mwh
40.2,72.1,134.3,60.1,10.47
60.5,67.0,59.7,161.9,22.5
86.0,46.2,155.5,85.9,14.29
89.1,75.7,99.8,136.1,22.5
38.0,22.7,130.8,102.7,9.09
57.6,78.5,158.1,141.8,18.72
105.0,56.3,147.4,176.6,22.5
112.9,60.2,193.9,66.6,18.3
83.2,79.2,98.4,128.2,21.05
63.2,33.8,79.5,106.1,11.43
43.1,22.5,178.2,178.1,16.11
70.4,55.0,151.4,175.9,22.5
58.5,70.9,190.3,145.0,19.91

63.7,31.5,187.3,127.8,14.71
119.5,69.9,56.7,111.5,22.5
70.8,37.3,104.3,64.6,11.08
110.3,30.9,173.6,61.1,14.22
57.2,79.5,91.0,70.0,16.39
58.8,64.9,153.6,146.2,20.29
78.2,35.9,103.9,72.1,12.96
