wind_speed_kmph,blade_length_m,altitude_m,humidity_pct,turbine_output_mwh
40.4,31.2,170.9,64.3,8.83
57.1,48.3,166.5,60.6,7.33
8.3,73.0,88.9,77.1,9.18
46.5,66.4,97.0,81.3,13.71
32.1,36.7,117.0,65.6,7.39
27.4,31.0,190.1,28.9,2.52
58.7,70.0,167.9,75.8,11.81
46.0,55.7,174.8,67.7,10.54
19.0,71.3,75.4,67.3,9.71
55.1,64.2,76.2,36.3,9.38
38.9,60.3,68.1,49.7,8.43
18.8,70.9,50.7,37.2,8.85
55.8,60.1,142.2,84.3,11.75
14.2,56.9,82.7,21.3,5.21
49.2,35.7,119.3,73.1,10.56
9.9,58.6,55.1,49.2,6.53
22.3,34.1,147.5,52.3,4.75
31.5,47.7,197.5,39.8,6.33
15.0,44.1,76.3,49.7,7.1
55.5,33.3,190.9,52.7,6.51
13.6,67.1,193.3,82.7,10.07
20.9,27.5,196.5,28.1,0.72
54.1,60.9,84.7,24.3,7.38
51.9,70.0,62.8,84.3,14.02
19.9,66.2,92.5,52.3,7.73
